username,price,avg_likes,avg_comments,followers
Timetanz,330000,12895.7,282.9,847649
tarikhi.fact,99000,1702.9,71.3,826688
Behtarin_clip,385000,6532.5,238.2,821783
Super9va,292600,18778.7,425.6,880682
Pediamovie,649000,17895.2,313.6,796696
ajayebkaade,132000,1598.3,75.5,853513
histography_insta,198000,16733.0,364.4,1128419
tomojerry.lovers,995500,8477.1,32.1,818125
radio.ghermez,8400000,124581.1,3100.6,791608
manzele_taze_arus,88000,960.1,21.3,813809
Cudoiin,539000,17902.6,707.3,807242
danstani.pezeshki,385000,9712.1,134.8,780024
sabamorshedii,16500000,137809.7,6896.5,803709
honarmandan,242000,5469.3,135.0,778098
akhbare.fori,1260000,3354.4,240.9,779136
adam_hesabiha,6325000,55638.3,891.9,810463
avamuzix,638000,20597.0,297.6,795894
Sketch_architect,132000,2172.3,8.1,768767
Topkade,165000,6356.7,65.3,770107
Sweet_clip,275000,6761.5,195.9,803459
jenabkhan_fanpage,396000,9408.6,56.4,763918
Movie_facts_farsi,583000,19134.5,289.0,751165
NOSTALZHIKA,605000,4162.3,70.9,753668
Aroose_m0d,55000,2796.7,67.3,744855
tvfactt,275000,4359.9,110.4,747711
matn_e_naab,330000,13258.7,247.7,755367
tor_ir,79200,583.4,12.0,741854
ashpazi_mehmoni,399000,5105.1,44.9,743456
Befunim,714000,17799.9,184.9,740978
Ashpazi_page,220000,2619.9,32.9,743152
Faratar_az_tasavor,158400,5837.4,84.9,737876
Salamatezanan,682500,11900.6,165.8,731025
ashpazie.asaan,44000,1465.6,14.9,721705
honar_doostan,440000,29.4,0.0,1247
Aroose_royaei2,55000,1385.8,17.0,700508
dokhtar_one,176000,1573.3,24.7,707019
Sky_factt,77000,611.2,21.3,699088
Turkyemekler,385000,11755.5,114.0,722906
Darham.abad,93500,6377.5,138.6,709091
Filmo.cinema,330000,3494.1,40.7,665107
Funny_mool,165000,4192.7,78.6,698912
Shamimeshgh_,407000,23511.1,480.7,692546
hessnegar,770000,13647.2,115.0,707876
avalrahmat,1100000,11838.5,453.3,698830
negahememar,110000,115.1,3.0,664973
decor_mag,95700,1658.6,33.5,667478
banoo.nokte,319000,4891.1,110.4,648238
Tanzzzbazar,187000,5887.8,72.3,661513
varzesh.vb,77000,2544.8,75.9,644199
Neembeyt,420000,7902.6,168.1,632475
ashpazie.irani,44000,1533.4,19.3,628472
Tanzeiran,220000,4876.6,115.5,626238
stylemrooz,170500,5405.7,176.4,614296
Facthob,473000,5395.8,91.4,614241
Matn.Nik,440000,17447.3,165.9,637533
Arteshs0rkh,275000,5757.8,103.1,616449
royaiii__,473000,28250.9,348.3,625087
Manzele_noaroos,88000,615.6,8.3,603250
ajibtar_az_elm,726000,4059.4,70.0,612902
zheen_magazine,693000,43426.0,480.8,625312
factche,132000,15178.7,661.2,1104787
4media.ir,506000,10051.1,247.8,588961
Chaakame,594000,32784.9,341.4,612244
Tanz_sora,165000,3264.7,42.0,603646
Clip_chalesh,220000,9050.9,123.2,725759
nabgram.ir,165000,1110.2,14.9,562585
aroose_mandegar,55000,1389.1,51.9,592083
Osule_bakelasi,275000,5860.7,92.9,600267
Majaleye_sabz,385000,7545.7,170.8,596824
Believe.change,275000,2948.6,35.8,604117
praduxe,473000,7490.2,258.3,679795
jarchi,88000,1971.4,64.7,619503
Majale_ehsasi,121000,1472.7,9.9,671455
iqsunn,495000,13957.8,167.8,593924
deser_zardaloo,198000,2484.5,25.1,596822
campec.ir,132000,2778.6,64.3,595593
Funy_kilip,165000,3032.9,39.4,595350
graphicroozane,5500000,3412.0,18.4,585706
Asheghaneh_graphi,108900,3989.4,34.2,582582
Mehranmodiri_18,154000,5425.8,58.9,587783
matne.khas2,385000,15156.7,187.4,617629
Film_clip_ir,91300,3362.5,174.2,549089
bahambesazim,60500,527.1,15.4,572233
smartdoctor.ir,165000,516.5,20.9,576490
